AGHL,263479.8650,4262902.6550,-0.0136,-0.0074,-0.0027
AGRP,302661.1959,4252028.8560,-0.0098,-0.0091,0.0000
ARIO,304712.1248,4244471.5280,-0.0100,-0.0140,-0.0350
ATKO,248809.4009,4264554.6930,-0.0159,-0.0058,-0.0167
CG13,309093.4430,4308571.5470,-0.0087,-0.0058,-0.0097
CG30,337707.3811,4251459.1100,-0.0013,-0.0128,0.0000
CG42,322559.5657,4233012.0600,-0.0252,-0.0127,-0.0066
CG61,287514.5586,4210103.3940,-0.0228,-0.0149,-0.0113
DOXA,317084.3800,4174826.5410,-0.0243,-0.0178,-0.0048
DREP,312040.7717,4245611.2260,-0.0157,-0.0109,-0.0116
E000,333792.2728,4228723.0320,-0.0275,-0.0144,0.0000
G000,320184.6446,4215082.2830,-0.0238,-0.0179,-0.0044
H000,323950.8608,4266409.6040,-0.0097,-0.0114,-0.0071
I000,316989.8396,4257241.0730,-0.0098,-0.0126,-0.0025
K000,315319.7296,4236439.6590,-0.0220,-0.0147,-0.0034
KAST,248637.3412,4197509.7590,-0.0205,-0.0165,-0.0138
KYLN,248350.4569,4203090.0310,-0.0067,-0.0110,0.0000
L000,307802.0856,4219691.6560,-0.0246,-0.0142,-0.0101
LEPE,264443.6296,4286585.6730,-0.0054,-0.0082,-0.0118
LEVK,343029.2300,4274729.3660,-0.0057,-0.0099,0.0152
MAOR,271375.3206,4229687.1800,-0.0224,-0.0220,0.0000
MESS,248593.1745,4250796.6130,-0.0062,-0.0075,-0.0214
MLSS,267317.6368,4203079.7130,-0.0215,-0.0212,0.0000
RION,305922.4199,4242693.2090,-0.0110,-0.0207,0.0000
TOLO,341254.4798,4243325.0630,-0.0087,-0.0172,-0.0343
VELT,283770.4082,4201648.7590,-0.0220,-0.0211,0.0000
PRSL,281272.9293,4281508.0090,-0.0084,-0.0044,0.0000
