OTHF,108844.1620,4422484.3240,0.0009,-0.0025,-0.0028
ANOK,139510.9920,4403958.9000,0.0023,-0.0015,0.0007
PNTN,145202.7610,4407788.6080,-0.0009,-0.0038,0.0000
AMAT,143445.5640,4382910.8730,0.0012,-0.0046,0.0000
PAXI,165646.6470,4349783.0730,0.0027,0.0003,-0.0030
APAXa,175605.3680,4338797.7740,0.0023,0.0003,-0.0038
PARG,195650.3470,4354771.9360,0.0003,-0.0024,0.0000
KARI,214027.5590,4403302.0440,-0.0025,-0.0031,0.0000
TERO,231391.1530,4372475.7420,-0.0034,-0.0048,0.0000
ARTC,238145.5880,4338304.3670,-0.0046,-0.0059,-0.0047
1KVLa,209393.5510,4298643.6380,-0.0098,-0.0030,0.0000
DUKAa,198586.6800,4273722.2930,-0.0054,-0.0042,-0.0045
FISKa,201191.4780,4262108.2910,-0.0079,-0.0038,-0.0052
ASSOa,198236.7680,4252303.0020,-0.0070,-0.0072,0.0000
K2AM,179387.5610,4231850.0770,-0.0051,-0.0035,0.0000
GERO,179387.5640,4231850.0770,-0.0039,-0.0053,-0.0050
LKTR,193861.5290,4225899.6220,-0.0089,-0.0092,0.0000
TSAR,208788.4540,4229385.6070,-0.0091,-0.0065,0.0000
SARA,214341.1950,4250938.1020,-0.0109,-0.0075,0.0000
SKIN,210000.8310,4202991.2270,-0.0115,-0.0101,-0.0045
KERIc2,218263.4130,4172010.8120,-0.0156,-0.0147,-0.0054
KSSI,234444.2130,4179085.8330,-0.0172,-0.0145,0.0000
AMFI,253854.3720,4305229.3430,-0.0033,-0.0062,-0.0047
VONWa,226380.7500,4311209.8100,-0.0115,-0.0045,0.0000
L2PE,264289.4520,4286292.9200,-0.0060,-0.0110,0.0000
ATKO,248657.6530,4264271.8320,-0.0157,-0.0085,0.0000
MESS,248446.0600,4250512.9790,-0.0158,-0.0119,0.0000
KARP,310024.9970,4309502.4900,-0.0093,-0.0077,-0.0050
STRFc,235025.6310,4126508.0660,-0.0183,-0.0187,-0.0008
LAKA,322410.2690,4232723.5320,-0.0275,-0.0145,0.0000
SNDO,287360.8390,4209812.4790,-0.0244,-0.0155,0.0000
CHLE,248491.2000,4197219.4970,-0.0254,-0.0174,0.0000
DOXA,316935.7720,4174534.7080,-0.0256,-0.0201,0.0000
ZAHA,291561.2210,4151595.5780,-0.0270,-0.0226,0.0000
AETO,307804.1240,4123838.2140,-0.0266,-0.0234,0.0000
XRIS,310480.6640,4073544.9870,-0.0241,-0.0213,0.0000
KASI,151574.2110,4407226.0110,0.0010,-0.0027,-0.0057
SPAN,210894.6890,4297477.8450,-0.0083,-0.0011,-0.0050
PONT,202536.1040,4279741.8470,-0.0046,-0.0030,-0.0073
VLSM,201020.2690,4230649.1430,-0.0090,-0.0049,-0.0039
RLSO,277412.5180,4214757.1020,-0.0183,-0.0134,0.0018
