Created by Mike Floyd on 2014-08-18T20:46:26EDT
Survey GPS glist file:    /net/chandler/home/floyd/gu/emed/nsoln/emed.glist
Survey GPS velocity file: /net/chandler/home/floyd/gu/emed/nsoln/globk_vel_140817a.vel
Continuous GPS glist file:    /net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/1995.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/1996.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/1997.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/1998.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/1999.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2000.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2001.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2002.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2003.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2004.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2005.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2006.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2007.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2008.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2009.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2010.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2011.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2012.glx.sum,/net/chandler/raid9/floyd/EMed_cGPS/vsoln/2013.5/2013.glx.sum
Continuous GPS velocity file: /net/chandler/home/floyd/gu/emed/nsoln/globk_vel_140817a.vel
Region: 15 <= lon. <= 65; 10 <= lat. <= 50
Maximum velocity sigma (in EITHER horizontal component): 1.5 mm/yr
Sites excluded by user: ORBA,ESNO,ALBO,0607,M124,0801,AY68,AY88,KN03,SKOP,KRYO,PAT0,3600,CJ00,CH00,EG00,STRV,ZAKR,RODO,OMAL,KATV,KERA,AKHR,DENI,AYD1,HARC,KYBS,SALH,CAYK,KNID,ABDI,ILGZ,KAMN,KIBR,CMGZ,KAKO,CINA_GPS,SEB2,TNCE,ARPK,GENC,SAMN,BGNT,CIN2,CINA,AVC2,ISTA_GDN,OLU2,SMAS,IKAN,SEFI,AGUZ,KDER,HEND,DGCT,SEYH,TEBA,SISL_GDN,ABNT,ALAP,DEVR,MUDA,ALXY,ZURA,KRLI,GEME,MALZ,DEDO,SIYE,HEFZ,ARTV,KAZR,DAMO,SIRN,HAKK,ORTA,GK10,GJ08,DUBK,SLNY,GRGT,YEVL,UDMC,RSHD,AMMN,SLOM,DAND,MSLH,MF14,ISKU,DA60,GEDE,KSGT,RIDG,AGRA,MAKM,HUR2,KOLO,SALE,MF18,IKAN
Reference frame sites: YEBE MAS1 DGAR DGAR KERG KIT3 REUN MALI CRAO RBAY MBAR ZAMB SUTH TRO1 WIND NOT1 NKLG
________________________________________________________________________________
Site F Longitude Latitude    ve      vn   sig_ve sig_vn rho_en    t1       t2   
        (deg.E)   (deg.N) |---------- mm/yr ----------|                         
12345678901234567890123456789012345678901234567890123456789012345678901234567890
0601 s   20.0598  41.5429   24.21   11.42   0.82   0.84  0.018 2006.384 2009.856
0602 s   19.7057  41.7007   24.73   12.79   0.79   0.80  0.010 2006.384 2009.856
0603 s   19.5535  41.4282   24.94   15.87   1.33   1.35  0.001 2006.384 2009.856
0608 s   19.8966  41.6750   24.15   11.73   0.83   0.85 -0.013 2006.384 2009.856
0611 s   19.7097  41.2026   23.43   15.57   0.81   0.82  0.013 2006.384 2009.856
0802 s   21.4464  42.1921   23.55   12.02   0.86   0.87  0.001 1996.620 2008.794
0803 s   22.8637  42.0015   25.32   12.00   0.71   0.73 -0.012 1996.620 2000.742
0804 s   22.0118  41.7649   24.69   10.82   0.69   0.70 -0.022 1996.620 2000.742
0805 s   22.7798  41.3270   24.95    9.93   0.71   0.73 -0.021 1996.620 2000.742
0806 s   21.7871  40.9312   24.62    9.33   1.18   1.14 -0.025 1996.620 2000.742
0807 s   20.8205  40.9323   24.80   11.98   0.72   0.74 -0.019 1996.620 2000.742
104G s   21.3593  40.1593   25.12   11.34   0.67   0.71 -0.050 1995.749 2000.693
1700 s   23.3724  38.9860   14.91   -4.16   0.59   0.60 -0.047 1997.734 2005.740
2700 s   23.4634  38.8426   13.90   -5.97   0.38   0.39 -0.005 1997.734 2005.740
2800 s   23.2019  38.5665   10.99   -6.81   0.36   0.37 -0.007 1997.734 2005.740
3400 s   23.2223  38.4265    9.25   -6.99   0.36   0.37  0.003 1997.734 2005.740
3500 s   23.5403  38.4451   10.33   -9.27   0.55   0.60  0.054 1997.734 2005.740
4100 s   23.7433  38.4303    9.34   -9.53   0.35   0.36 -0.004 1997.734 2005.740
4600 s   23.0291  38.2529    8.39   -7.71   0.59   0.61  0.029 1997.734 2005.740
4900 s   23.2128  38.0971    7.96  -10.26   0.37   0.38 -0.008 1997.734 2005.740
5000 s   23.3549  38.2095    7.78   -9.84   0.35   0.36  0.008 1997.734 2005.740
5200 s   23.9632  38.3877    8.74  -10.90   0.40   0.41 -0.008 1997.734 2005.740
5300 s   23.8536  38.2304    8.83  -11.25   0.46   0.50  0.009 1997.734 2005.740
ABAK s   36.4651  36.5311   18.43   23.06   0.69   0.74 -0.041 1998.699 2008.529
ABAL s   51.9864  35.7929   25.49   18.22   1.10   1.11  0.001 2000.742 2005.584
ABEY s   37.1126  37.7466   12.84   19.54   0.65   0.68 -0.036 1998.644 2004.758
ADER s   38.1187  15.6546   25.44   16.30   0.68   0.70  0.000 2004.221 2011.290
ADIK s   39.3246  14.8834   25.16   14.67   0.56   1.21 -0.005 2005.288 2011.290
AFYO s   30.6444  38.7689    1.04    8.18   1.06   0.80 -0.022 2002.795 2009.693
AGKA s   48.0052  37.1690   26.02   21.63   0.70   1.23 -0.007 2002.708 2006.789
AGOK s   30.7611  40.5889   11.22   11.11   0.68   0.73 -0.005 1994.736 1998.768
AGOK s   30.7611  40.5889    5.95   10.71   0.46   0.51 -0.030 1999.874 2011.377
AGRT s   43.0257  39.7185   26.99   17.66   1.01   1.05 -0.037 1994.736 2002.508
AHVA s   48.6844  31.3396   25.93   27.28   0.50   0.50  0.005 2001.719 2005.740
AJSH s   36.1556  34.8815   21.24   23.19   0.40   0.42 -0.010 2000.858 2008.449
AKCO s   29.9731  41.0335   26.11   11.45   0.36   0.38 -0.039 2000.245 2011.377
AKGA s   27.8727  39.0057    2.08    3.17   0.82   0.86 -0.004 1994.736 1998.699
AKH0 s   45.6451  40.0988   30.43   17.98   0.61   0.63 -0.007 1998.699 2003.516
AKIL s   37.6338  35.7999   21.06   24.24   0.64   0.65 -0.009 2001.049 2008.449
AKSU s   31.1209  37.7615    7.49    6.65   0.47   0.53 -0.055 2000.786 2009.693
AKTO s   39.7017  40.9736   25.54   13.44   0.20   0.20 -0.035 1994.736 1998.699
AKTP s   39.3356  37.6362   17.91   25.06   0.77   0.86 -0.058 2004.758 2008.529
ALA1 s   34.8139  40.1454    4.74   14.97   1.06   1.20 -0.066 2001.610 2004.582
ALAE s   34.8781  25.0669   22.39   19.79   0.92   0.91 -0.005 2006.384 2009.210
ALAN s   27.4245  39.7847    3.82    4.22   0.45   0.43 -0.079 2002.934 2011.377
ALAR s   37.4359  37.5177   17.88   23.47   0.35   0.38 -0.035 1998.699 2008.529
ALIS s   51.0817  28.9190   28.14   28.80   0.37   0.37 -0.014 1998.896 2005.740
ALTP s   37.8688  38.0503   12.72   20.85   0.85   0.86 -0.010 1998.644 2008.529
AMIN s   52.5859  35.7013   25.52   16.20   0.56   0.58  0.004 2000.786 2005.584
AMSI s   43.7680  40.9723   27.75   16.40   0.82   0.38 -0.017 1998.699 2007.753
ANAP s   37.3054  44.8832   24.33   13.10   0.32   0.33 -0.011 1998.699 2007.753
ANJR s   35.9220  33.7398   21.04   22.34   0.64   0.67 -0.023 2003.755 2008.590
ANTG s   30.6093  36.8285   12.73    4.77   0.50   0.52  0.007 1994.736 2009.693
APOL s   19.4748  40.7257   23.04   16.92   1.46   1.46 -0.002 2003.516 2008.721
AQBA s   35.0185  29.5279   23.85   23.00   0.66   0.64 -0.012 2005.584 2010.395
AR44 s   21.4534  40.3699   25.23   11.10   0.69   0.71 -0.016 1996.391 2000.693
AR69 s   21.4458  40.4524   25.09   10.64   0.68   0.73 -0.036 1995.749 2000.693
ARA4 s   44.6791  39.8405   29.65   17.73   0.51   0.54 -0.006 2003.516 2009.523
ARBI s   48.2314  38.4768   31.87   21.22   0.39   0.40 -0.010 1999.784 2006.789
ARDA s   53.8223  32.3131   27.45   21.57   0.37   0.37 -0.011 1998.896 2005.740
ARDN s   42.7553  41.1260   26.69   15.16   0.27   0.30 -0.033 1998.699 2010.664
ARGA s   37.9023  37.2368   18.67   25.21   0.34   0.36 -0.052 1998.699 2008.529
ARO0 s   42.8470  11.5263   30.48   17.23   0.59   0.59 -0.023 1995.229 2003.216
ARPY s   38.7433  39.8204   10.09   21.03   0.69   0.95 -0.050 2004.758 2008.590
ARTI s   43.9545  40.6090   28.61   16.86   0.28   0.41 -0.033 1994.736 2007.753
ASAL s   36.3995  33.8787   23.31   23.78   0.59   0.59 -0.021 2001.104 2008.449
ASGF s   37.6484  32.3330   24.83   24.85   0.60   0.60 -0.017 2005.584 2010.395
ASMT s   27.2035  40.0545    5.90    3.81   0.88   0.89 -0.017 2002.934 2011.377
ASTA s   48.7965  38.6350   30.57   21.28   0.68   0.75 -0.013 2007.658 2012.877
ATKY s   36.9115  40.4469    9.10   19.66   0.89   1.00 -0.044 2004.758 2007.658
AVCI s   28.7274  40.9868   24.28   10.79   1.17   1.24 -0.053 2000.245 2003.375
AYAQ s   47.1434  40.1896   30.75   20.68   0.99   1.11 -0.024 2004.758 2008.794
AYDG s   38.7430  40.0467   19.05   15.45   0.89   1.01 -0.058 2004.758 2008.590
AYKA s   26.7000  39.3113    4.40    1.41   0.85   0.92  0.006 1994.736 1998.699
AYZC s   39.4170  36.9712   16.05   25.20   1.15   1.20 -0.058 1998.644 2002.508
BA02 s   46.8095  37.6530   29.49   23.32   0.80   0.85 -0.025 2004.758 2008.590
BA04 s   46.8705  37.7901   28.65   23.95   0.74   0.78 -0.008 2004.758 2008.649
